3	28	1	2	47	1	6	1	17	6	2	8	1	1.4556621	14	998.08115	998.68115	998.68115	998.88116	1000.1368
3	28	1	2	48	1	6	1	18	5	2	7	1	0.76254959	15	1000.6885	1001.2885	1001.2885	1001.4886	1002.0511
3	28	1	2	49	1	6	1	19	6	2	8	1	0.98141428	16	1003.2958	1003.8958	1003.8958	1004.0958	1004.8772
3	28	1	2	50	1	6	1	20	1	1	1	1	0.89803835	17	1005.9029	1006.1029	1006.1029	1006.3029	1007.0009
3	28	1	2	51	1	6	1	21	2	1	2	1	0.7539311	18	1008.1618	1008.3619	1008.3619	1008.5619	1009.1158
3	28	1	2	52	1	6	1	22	4	2	6	1	1.0500357	19	1010.3695	1010.9695	1010.9695	1011.1695	1012.0196
3	28	1	2	53	1	6	1	23	2	1	2	1	0.81147719	20	1012.9766	1013.1766	1013.1766	1013.3766	1013.9881
3	28	1	2	54	1	6	1	24	1	1	1	1	0.91471123	21	1015.1836	1015.3837	1015.3837	1015.5837	1016.2984
3	28	1	2	55	1	6	1	25	6	2	8	1	0.74521778	22	1017.3908	1017.9908	1017.9908	1018.1909	1018.7361
3	28	1	2	56	1	6	1	26	6	2	8	1	0.72311199	23	1019.9984	1020.5985	1020.5985	1020.7985	1021.3216
3	28	1	2	57	1	6	1	27	1	1	2	0	0.94857229	23	1022.6056	1022.8056	1022.8056	1023.0056	1023.7542
3	28	1	2	58	1	6	1	28	2	1	2	1	0.74373917	24	1025.1267	1025.3267	1025.3267	1025.5267	1026.0705
3	28	1	2	59	1	6	1	29	3	1	3	1	0.8828758	25	1027.3344	1027.5344	1027.5344	1027.7345	1028.4173
3	28	1	2	60	1	6	1	30	5	2	7	1	1.2864748	26	1029.542	1030.142	1030.1421	1030.3421	1031.4286
3	28	1	2	61	1	2	2	1	1	1	4	1	0.75012167	1	1042.813	1043.013	1043.013	1043.213	1043.7631
3	28	1	2	62	1	2	2	2	6	2	5	1	0.54855688	2	1045.0207	1045.6207	1045.6207	1045.8207	1046.1693
3	28	1	2	63	1	2	2	3	6	2	5	1	0.47832088	3	1047.6285	1048.2285	1048.2286	1048.4286	1048.7069
3	28	1	2	64	1	2	2	4	3	1	4	1	0.5845245	4	1050.2367	1050.4368	1050.4368	1050.6368	1051.0214
3	28	1	2	65	1	2	2	5	1	2	4	1	0.58791204	5	1052.445	1053.045	1053.045	1053.245	1053.6329
3	28	1	2	66	1	2	2	6	2	1	4	1	0.49288791	6	1055.053	1055.253	1055.253	1055.453	1055.7459
3	28	1	2	67	1	2	2	7	2	2	4	1	0.45982044	7	1057.2606	1057.8606	1057.8607	1058.0607	1058.3205
3	28	1	2	68	1	2	2	8	4	2	5	1	0.55778753	8	1059.8691	1060.4692	1060.4692	1060.6692	1061.027
3	28	1	2	69	1	2	2	9	5	1	5	1	0.5012571	9	1062.4768	1062.6768	1062.6768	1062.8768	1063.1781
3	28	1	2	70	1	2	2	10	2	2	4	1	0.44384421	10	1064.6852	1065.2852	1065.2852	1065.4852	1065.729
3	28	1	2	71	1	2	2	11	1	1	4	1	0.40370224	11	1067.2931	1067.4931	1067.4931	1067.6931	1067.8968
3	28	1	2	72	1	2	2	12	5	1	5	1	0.43106276	12	1069.5008	1069.7008	1069.7008	1069.9008	1070.1319
3	28	1	2	73	1	2	2	13	6	1	5	1	0.45211292	13	1071.7093	1071.9093	1071.9094	1072.1094	1072.3615
3	28	1	2	74	1	2	2	14	3	2	4	1	0.42723817	14	1073.9175	1074.5176	1074.5176	1074.7176	1074.9449
